,Window Max Daily Deaths-alias,SUM(Confirm + Probable deaths)-alias,SUM(Confirmed Deathsby Death Dt)-alias,SUM(Probable Deathsby Death Dt)-alias,DAY(Epi Dt)-value,DAY(Epi Dt)-alias,County Parameter Cum Curve-alias,AGG(Prelim start date)-alias,AGG(Prelim end date)-alias,Measure Names-alias,Measure Values-value,Measure Values-alias
161,93,0,0,0,2021-07-12 00:00:00,7/12/21,Wisconsin,6/29/2021,7/13/2021,Probable case death,0,0.00
162,93,1,1,0,2021-07-11 00:00:00,7/11/21,Wisconsin,6/28/2021,7/12/2021,Probable case death,0,0.00
163,93,1,1,0,2021-07-10 00:00:00,7/10/21,Wisconsin,6/27/2021,7/11/2021,Probable case death,0,0.00
164,93,1,1,0,2021-07-09 00:00:00,7/9/21,Wisconsin,6/26/2021,7/10/2021,Probable case death,0,0.00
165,93,1,1,0,2021-07-08 00:00:00,7/8/21,Wisconsin,6/25/2021,7/9/2021,Probable case death,0,0.00
166,93,1,1,0,2021-07-07 00:00:00,7/7/21,Wisconsin,6/24/2021,7/8/2021,Probable case death,0,0.00
167,93,3,3,0,2021-07-06 00:00:00,7/6/21,Wisconsin,6/23/2021,7/7/2021,Probable case death,0,0.00
168,93,1,1,0,2021-07-05 00:00:00,7/5/21,Wisconsin,6/22/2021,7/6/2021,Probable case death,0,0.00
169,93,1,1,0,2021-07-04 00:00:00,7/4/21,Wisconsin,6/21/2021,7/5/2021,Probable case death,0,0.00
170,93,4,4,0,2021-07-03 00:00:00,7/3/21,Wisconsin,6/20/2021,7/4/2021,Probable case death,0,0.00
171,93,0,0,0,2021-07-02 00:00:00,7/2/21,Wisconsin,6/19/2021,7/3/2021,Probable case death,0,0.00
172,93,3,3,0,2021-07-01 00:00:00,7/1/21,Wisconsin,6/18/2021,7/2/2021,Probable case death,0,0.00
173,93,2,2,0,2021-06-30 00:00:00,6/30/21,Wisconsin,6/17/2021,7/1/2021,Probable case death,0,0.00
174,93,0,0,0,2021-06-29 00:00:00,6/29/21,Wisconsin,6/16/2021,6/30/2021,Probable case death,0,0.00
175,93,3,3,0,2021-06-28 00:00:00,6/28/21,Wisconsin,6/15/2021,6/29/2021,Probable case death,0,0.00
176,93,3,3,0,2021-06-27 00:00:00,6/27/21,Wisconsin,6/14/2021,6/28/2021,Probable case death,0,0.00
177,93,1,1,0,2021-06-26 00:00:00,6/26/21,Wisconsin,6/13/2021,6/27/2021,Probable case death,0,0.00
178,93,3,2,1,2021-06-25 00:00:00,6/25/21,Wisconsin,6/12/2021,6/26/2021,Probable case death,1,1.00
179,93,0,0,0,2021-06-24 00:00:00,6/24/21,Wisconsin,6/11/2021,6/25/2021,Probable case death,0,0.00
180,93,1,1,0,2021-06-23 00:00:00,6/23/21,Wisconsin,6/10/2021,6/24/2021,Probable case death,0,0.00
181,93,3,3,0,2021-06-22 00:00:00,6/22/21,Wisconsin,6/9/2021,6/23/2021,Probable case death,0,0.00
182,93,0,0,0,2021-06-21 00:00:00,6/21/21,Wisconsin,6/8/2021,6/22/2021,Probable case death,0,0.00
183,93,2,2,0,2021-06-20 00:00:00,6/20/21,Wisconsin,6/7/2021,6/21/2021,Probable case death,0,0.00
184,93,3,3,0,2021-06-19 00:00:00,6/19/21,Wisconsin,6/6/2021,6/20/2021,Probable case death,0,0.00
185,93,0,0,0,2021-06-18 00:00:00,6/18/21,Wisconsin,6/5/2021,6/19/2021,Probable case death,0,0.00
186,93,2,2,0,2021-06-17 00:00:00,6/17/21,Wisconsin,6/4/2021,6/18/2021,Probable case death,0,0.00
187,93,0,0,0,2021-06-16 00:00:00,6/16/21,Wisconsin,6/3/2021,6/17/2021,Probable case death,0,0.00
188,93,0,0,0,2021-06-15 00:00:00,6/15/21,Wisconsin,6/2/2021,6/16/2021,Probable case death,0,0.00
189,93,2,2,0,2021-06-14 00:00:00,6/14/21,Wisconsin,6/1/2021,6/15/2021,Probable case death,0,0.00
190,93,2,2,0,2021-06-13 00:00:00,6/13/21,Wisconsin,5/31/2021,6/14/2021,Probable case death,0,0.00
191,93,4,4,0,2021-06-12 00:00:00,6/12/21,Wisconsin,5/30/2021,6/13/2021,Probable case death,0,0.00
192,93,1,1,0,2021-06-11 00:00:00,6/11/21,Wisconsin,5/29/2021,6/12/2021,Probable case death,0,0.00
193,93,1,1,0,2021-06-10 00:00:00,6/10/21,Wisconsin,5/28/2021,6/11/2021,Probable case death,0,0.00
194,93,4,4,0,2021-06-09 00:00:00,6/9/21,Wisconsin,5/27/2021,6/10/2021,Probable case death,0,0.00
195,93,1,1,0,2021-06-08 00:00:00,6/8/21,Wisconsin,5/26/2021,6/9/2021,Probable case death,0,0.00
196,93,0,0,0,2021-06-07 00:00:00,6/7/21,Wisconsin,5/25/2021,6/8/2021,Probable case death,0,0.00
197,93,2,1,1,2021-06-06 00:00:00,6/6/21,Wisconsin,5/24/2021,6/7/2021,Probable case death,1,1.00
198,93,3,2,1,2021-06-05 00:00:00,6/5/21,Wisconsin,5/23/2021,6/6/2021,Probable case death,1,1.00
199,93,3,3,0,2021-06-04 00:00:00,6/4/21,Wisconsin,5/22/2021,6/5/2021,Probable case death,0,0.00
200,93,4,4,0,2021-06-03 00:00:00,6/3/21,Wisconsin,5/21/2021,6/4/2021,Probable case death,0,0.00
201,93,4,2,2,2021-06-02 00:00:00,6/2/21,Wisconsin,5/20/2021,6/3/2021,Probable case death,2,2.00
202,93,3,3,0,2021-06-01 00:00:00,6/1/21,Wisconsin,5/19/2021,6/2/2021,Probable case death,0,0.00
203,93,5,5,0,2021-05-31 00:00:00,5/31/21,Wisconsin,5/18/2021,6/1/2021,Probable case death,0,0.00
204,93,4,3,1,2021-05-30 00:00:00,5/30/21,Wisconsin,5/17/2021,5/31/2021,Probable case death,1,1.00
205,93,2,2,0,2021-05-29 00:00:00,5/29/21,Wisconsin,5/16/2021,5/30/2021,Probable case death,0,0.00
206,93,4,4,0,2021-05-28 00:00:00,5/28/21,Wisconsin,5/15/2021,5/29/2021,Probable case death,0,0.00
207,93,4,2,2,2021-05-27 00:00:00,5/27/21,Wisconsin,5/14/2021,5/28/2021,Probable case death,2,2.00
208,93,3,3,0,2021-05-26 00:00:00,5/26/21,Wisconsin,5/13/2021,5/27/2021,Probable case death,0,0.00
209,93,4,4,0,2021-05-25 00:00:00,5/25/21,Wisconsin,5/12/2021,5/26/2021,Probable case death,0,0.00
210,93,4,4,0,2021-05-24 00:00:00,5/24/21,Wisconsin,5/11/2021,5/25/2021,Probable case death,0,0.00
