Virus name,Accession ID,Collection date
hCoV-19/USA/WI-GMF-35661/2020,EPI_ISL_942475,2020-11-18
hCoV-19/USA/WI-GMF-35720/2020,EPI_ISL_942477,2020-11-19
hCoV-19/USA/WI-GMF-35746/2020,EPI_ISL_942478,2020-11-19
hCoV-19/USA/WI-GMF-35749/2020,EPI_ISL_942479,2020-11-19
hCoV-19/USA/WI-GMF-35870/2020,EPI_ISL_942480,2020-11-20
hCoV-19/USA/WI-GMF-35894/2020,EPI_ISL_942481,2020-11-20
hCoV-19/USA/WI-GMF-35958/2020,EPI_ISL_942482,2020-11-20
hCoV-19/USA/WI-GMF-36141/2020,EPI_ISL_942483,2020-11-21
hCoV-19/USA/WI-GMF-36184/2020,EPI_ISL_942484,2020-11-21
hCoV-19/USA/WI-GMF-36227/2020,EPI_ISL_942485,2020-11-21
hCoV-19/USA/WI-GMF-36254/2020,EPI_ISL_942487,2020-11-21
hCoV-19/USA/WI-GMF-36255/2020,EPI_ISL_942488,2020-11-21
hCoV-19/USA/WI-GMF-36325/2020,EPI_ISL_942489,2020-11-22
hCoV-19/USA/WI-GMF-36338/2020,EPI_ISL_942490,2020-11-22
hCoV-19/USA/WI-GMF-36385/2020,EPI_ISL_942492,2020-11-22
hCoV-19/USA/WI-GMF-36422/2020,EPI_ISL_942493,2020-11-22
hCoV-19/USA/WI-GMF-36503/2020,EPI_ISL_942494,2020-11-23
hCoV-19/USA/WI-GMF-36504/2020,EPI_ISL_942495,2020-11-23
hCoV-19/USA/WI-GMF-36506/2020,EPI_ISL_942496,2020-11-23
hCoV-19/USA/WI-GMF-36510/2020,EPI_ISL_942497,2020-11-23
hCoV-19/USA/WI-GMF-36511/2020,EPI_ISL_942498,2020-11-23
hCoV-19/USA/WI-GMF-36513/2020,EPI_ISL_942499,2020-11-23
hCoV-19/USA/WI-GMF-53781/2021,EPI_ISL_1113200,2021-02-08
hCoV-19/USA/WI-GMF-53833/2021,EPI_ISL_1113201,2021-02-08
hCoV-19/USA/WI-GMF-53846/2021,EPI_ISL_1113202,2021-02-08
hCoV-19/USA/WI-GMF-53924/2021,EPI_ISL_1113203,2021-02-09
hCoV-19/USA/WI-GMF-53942/2021,EPI_ISL_1113204,2021-02-09
hCoV-19/USA/WI-GMF-54038/2021,EPI_ISL_1113205,2021-02-10
hCoV-19/USA/WI-GMF-54053/2021,EPI_ISL_1113206,2021-02-10
hCoV-19/USA/WI-GMF-54078/2021,EPI_ISL_1113207,2021-02-10
hCoV-19/USA/WI-GMF-54127/2021,EPI_ISL_1113208,2021-02-11
hCoV-19/USA/WI-GMF-54131/2021,EPI_ISL_1113209,2021-02-11
hCoV-19/USA/WI-GMF-54144/2021,EPI_ISL_1113210,2021-02-11
hCoV-19/USA/WI-GMF-54152/2021,EPI_ISL_1113211,2021-02-11
hCoV-19/USA/WI-GMF-54281/2021,EPI_ISL_1113213,2021-02-15
hCoV-19/USA/WI-GMF-54291/2021,EPI_ISL_1113214,2021-02-15
hCoV-19/USA/WI-GMF-54318/2021,EPI_ISL_1113215,2021-02-15
hCoV-19/USA/WI-GMF-54345/2021,EPI_ISL_1113216,2021-02-15
hCoV-19/USA/WI-GMF-54349/2021,EPI_ISL_1113217,2021-02-15
hCoV-19/USA/WI-GMF-54405/2021,EPI_ISL_1113218,2021-02-15
hCoV-19/USA/WI-GMF-54422/2021,EPI_ISL_1113219,2021-02-15
hCoV-19/USA/WI-GMF-54464/2021,EPI_ISL_1113221,2021-02-15
hCoV-19/USA/WI-GMF-54474/2021,EPI_ISL_1113222,2021-02-15
hCoV-19/USA/WI-GMF-54491/2021,EPI_ISL_1113225,2021-02-16
hCoV-19/USA/WI-UW-3678/2021,EPI_ISL_1182668,2021-02-20
hCoV-19/USA/WI-UW-3679/2021,EPI_ISL_1182669,2021-02-22
hCoV-19/USA/WI-UW-3680/2021,EPI_ISL_1182670,2021-02-22
hCoV-19/USA/WI-UW-3681/2021,EPI_ISL_1182671,2021-02-20
hCoV-19/USA/WI-UW-3592/2021,EPI_ISL_1182672,2021-02-23
hCoV-19/USA/WI-UW-3593/2021,EPI_ISL_1182673,2021-02-20
hCoV-19/USA/WI-UW-3584/2021,EPI_ISL_1182674,2021-02-23
hCoV-19/USA/WI-UW-3682/2021,EPI_ISL_1182675,2021-02-20
hCoV-19/USA/WI-UW-3683/2021,EPI_ISL_1182676,2021-02-23
